Nom,E,N,Alt
SteAnne,1052730.208,6845664.803,  0.000
HTP,1046920.941,6842902.748,  0.000
NHC,1049535.382,6841068.541,  0.000
SteOdile,1050838.318,6840008.934,  0.000
Diaconat,1024390.647,6747690.459,  0.000
EMuller,1025449.812,6745010.097,  0.000
3Fr,1041906.351,6730091.780,  0.000
Guebwiller,1014805.840,6764800.373,  0.000
Thann,1006392.396,6753821.525,  0.000
Altkirch,1019311.931,6733478.215,  0.000
Colmar,1022855.267,6783818.002,  0.000
Selestat,1028912.137,6804884.625,  0.000
StLuc,1012003.369,6828636.172,  0.000
Haguenau,1050806.723,6865868.720,  0.000
Wissembourg,1060357.108,6893687.634,  0.000
Saverne,1019654.098,6858345.856,  0.000
Diaconnat_Roosvelt,1024391.063,6747690.126,  0.000
Diaconnat_Strasbourg,1049701.577,6841230.096,  0.000
CCOM,1048454.774,6836747.993,  0.000
Cl.Orangerie,1051167.558,6842661.091,  0.000
