3Fr,Alk,Col,Dia,Geb,Hag,Hus,Mul,Odi,Sav,Sel,Wis,Somme,Moyenne
2014-01-01,46,0,177,76,44,99,90,130,73,97,101,39,972,149.538461538462
2014-01-02,34,31,181,77,33,101,134,189,71,83,84,37,1055,162.307692307692
2014-01-03,36,38,199,82,34,86,117,187,61,93,75,30,1038,159.692307692308
2014-01-04,38,17,169,92,31,89,95,177,71,84,87,32,982,151.076923076923
2014-01-05,42,1,164,75,38,85,79,183,76,64,76,35,918,141.230769230769
2014-01-06,40,11,160,90,51,87,128,179,77,78,76,23,1000,153.846153846154
2014-01-07,47,19,181,81,34,89,114,161,61,80,88,39,994,152.923076923077
2014-01-08,36,18,185,83,34,92,91,166,65,73,94,28,965,148.461538461538
2014-01-09,50,36,175,57,37,90,116,147,61,91,74,30,964,148.307692307692
2014-01-10,38,18,160,79,38,84,110,161,67,59,62,27,903,138.923076923077
2014-01-11,16,7,162,88,36,108,130,177,70,67,72,40,973,149.692307692308
2014-01-12,49,7,186,84,30,101,91,110,60,76,12,31,837,128.769230769231
2014-01-13,49,18,179,83,44,84,122,174,76,97,68,36,1030,158.461538461538
2014-01-14,35,13,168,70,30,85,97,152,62,81,77,20,890,136.923076923077
2014-01-15,31,32,163,77,38,116,71,84,50,81,76,21,840,129.230769230769
2014-01-16,36,8,184,92,41,104,127,169,0,91,75,31,958,147.384615384615
2014-01-17,39,26,166,75,30,88,128,168,0,82,56,27,885,136.153846153846
2014-01-18,49,12,187,85,30,110,101,192,0,84,84,30,964,148.307692307692
2014-01-19,41,31,172,74,46,98,98,160,0,95,78,36,929,142.923076923077
2014-01-20,42,24,185,90,43,114,102,179,0,90,72,36,977,150.307692307692
2014-01-21,41,29,151,76,34,93,103,156,0,75,82,31,871,134
2014-01-22,43,37,185,80,33,98,113,155,0,75,70,33,922,141.846153846154
2014-01-23,43,33,147,83,39,86,107,182,0,85,75,33,913,140.461538461538
2014-01-24,37,44,165,74,29,87,117,151,0,71,82,25,882,135.692307692308
2014-01-25,47,25,180,94,37,105,88,172,0,69,83,36,936,144
2014-01-26,52,15,173,64,35,98,110,180,0,64,71,37,899,138.307692307692
2014-01-27,36,42,182,77,45,86,132,199,0,90,88,35,1012,155.692307692308
2014-01-28,47,39,188,80,31,100,109,183,0,82,66,32,957,147.230769230769
2014-01-29,39,31,159,67,35,90,122,185,0,80,65,31,904,139.076923076923
2014-01-30,50,38,166,75,32,106,115,174,0,82,64,29,931,143.230769230769
2014-01-31,14,45,185,83,37,84,126,180,0,86,72,24,936,144
