"A00-B99","Chapitre I"," Certaines maladies infectieuses et parasitaires ",
"C00-D48","Chapitre II"," Tumeurs ",
"D50-D89","Chapitre III"," Maladies du sang et des organes hématopoïétiques et certains troubles du système immunitaire ",
"E00-E90","Chapitre IV"," Maladies endocriniennes,  nutritionnelles et métaboliques ",
"F00-F99","Chapitre V"," Troubles mentaux et du comportement ",
"G00-G99","Chapitre VI"," Maladies du système nerveux ",
"H00-H59","Chapitre VII"," Maladies de l'oeil et de ses annexes ",
"H60-H95","Chapitre VIII"," Maladies de l'oreille et de l'apophyse mastoïde ",
"I00-I99","Chapitre IX"," Maladies de l'appareil circulatoire ",
"J00-J99","Chapitre X"," Maladies de l'appareil respiratoire ",
"K00-K93","Chapitre XI"," Maladies de l'appareil digestif ",
"L00-L99","Chapitre XII"," Maladies de la peau et du tissu cellulaire sous-cutané ",
"M00-M99","Chapitre XIII"," Maladies du système ostéo-articulaire,  des muscles et du tissu conjonctif ",
"N00-N99","Chapitre XIV"," Maladies de l'appareil génito-urinaire ",
"O00-O99","Chapitre XV"," Grossesse,  accouchement et puerpéralité ",
"P00-P96","Chapitre XVI"," Certaines affections dont l'origine se situe dans la période périnatale ",
"Q00-Q99","Chapitre XVII"," Malformations congénitales et anomalies chromosomiques ",
"R00-R99","Chapitre XVIII"," Symptômes,  signes et résultats anormaux d'examens cliniques et de laboratoire  non classés ailleurs ",
"S00-T98","Chapitre XIX"," Lésions traumatiques, empoisonnements et certaines autres conséquences de causes externes "," "
"V01-Y98","Chapitre XX"," Causes externes de morbidité et de mortalité ",
"Z00-Z99","Chapitre XXI"," Facteurs influant sur l'état de santé et motifs de recours aux services de santé ",
